No.,Alloy,Tg,Tx,Tl,GFA,Ref.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y
611,Au51.6Ag5.8Pd2.4Cu20.2Ga6.7Si13.3,376.0,428.0,679.0,3.0,58,0.553755523,52,0.63033873,1.69205340,2.55437215,0.40568720,0.70692194,1.41254125,0.41730606,0.16570846,0.43360434,0.98208980,0.67525085,0.45253889,0.17161716,0.31034428,0.78350515,3.0
612,Au52.6Ag5.8Pd2.4Cu18.7Ga8.2Si12.3,372.0,426.0,668.0,2.0,58,0.556886228,54,0.63772455,1.70204752,2.70596271,0.40961538,0.71856287,1.43918919,0.42258215,0.15785482,0.43875686,0.99472027,0.68364679,0.44486542,0.18243243,0.34300936,0.79940120,2.0
613,Mg68Zn28Ca4,359.0,378.0,665.0,3.5,59,0.539849624,19,0.56842105,1.59277442,1.64748874,0.36914063,0.59699248,1.23529412,0.35461415,0.24856357,0.38063279,0.85553482,0.59011417,0.53446651,0.06209150,0.08281028,0.62556391,3.5
614,(Mg68Zn28Ca4)99.5Ga0.5,358.0,372.0,703.0,2.0,59,0.509246088,14,0.52916074,1.54835223,1.21554203,0.35061263,0.54907539,1.07826087,0.32034558,0.28753053,0.35906977,0.78081349,0.54688050,0.57063783,0.04057971,0.04574621,0.56899004,2.0
615,(Mg68Zn28Ca4)99.25Ga0.75,359.0,378.0,677.0,3.5,59,0.530280650,19,0.55834564,1.58320544,1.51790248,0.36486486,0.58641064,1.18867925,0.34832852,0.25668526,0.37630332,0.83927682,0.58054520,0.54182726,0.05974843,0.07629669,0.61447563,3.5
616,(Mg68Zn28Ca4)99Ga1,358.0,378.0,664.0,5.0,59,0.539156627,20,0.56927711,1.59502255,1.65440853,0.36986301,0.59939759,1.23529412,0.35690856,0.24650286,0.38195777,0.85895593,0.59206668,0.53235408,0.06535948,0.08753484,0.62951807,5.0
617,(Mg68Zn28Ca4)98.75Ga1.25,358.0,376.0,668.0,3.5,59,0.535928144,18,0.56287425,1.58620747,1.57872021,0.36647173,0.58982036,1.21290323,0.34946627,0.25427191,0.37739464,0.84461679,0.58380048,0.53987524,0.05806452,0.07557703,0.61676647,3.5
618,Ce70Ga4Cu26,360.0,396.0,709.0,3.0,60,0.507757405,36,0.55853315,1.60775740,1.45515418,0.37043966,0.60930889,1.13467049,0.36530555,0.23556425,0.39095023,0.85831625,0.59866650,0.51850829,0.10315186,0.13228674,0.66008463,3.0
619,Ce70Ga6Cu24,362.0,418.0,696.0,10.0,60,0.520114943,56,0.60057471,1.67481108,1.95792143,0.39508507,0.68103448,1.25149701,0.39828586,0.18171869,0.42549372,0.93284932,0.65408623,0.46594029,0.16766467,0.26230526,0.76149425,10.0
620,Ce70Ga10Cu20,365.0,441.0,681.0,10.0,60,0.535976505,76,0.64757709,1.74419568,2.79453125,0.42160612,0.75917768,1.39556962,0.42824689,0.12976765,0.46078431,1.00892306,0.70831211,0.41537478,0.24050633,0.48159722,0.87077827,10.0
621,Ce70Ga12Cu18,387.0,428.0,664.0,8.0,60,0.582831325,41,0.64457831,1.68877448,2.97392991,0.40723121,0.70632530,1.54512635,0.42279351,0.16776412,0.42948718,1.00218145,0.67862572,0.45587382,0.14801444,0.28488581,0.76807229,8.0
622,Ce70Ga15Cu15,394.0,428.0,664.0,3.0,60,0.593373494,34,0.64457831,1.67966791,3.02772192,0.40453686,0.69578313,1.58518519,0.41799748,0.17575924,0.42307692,0.99710655,0.67281275,0.46411960,0.12592593,0.24051997,0.74698795,3.0
623,Ce70Ga8.5Cu20Ni1.5,360.0,436.0,657.0,14.0,60,0.547945205,76,0.66362253,1.75905632,3.21369341,0.42871190,0.77929985,1.46801347,0.43867433,0.11772347,0.46843550,1.03550492,0.72225713,0.40419176,0.25589226,0.56018509,0.89497717,14.0
624,Ce70Ga8.5Cu18.5Ni3,361.0,416.0,653.0,10.0,60,0.552833078,55,0.63705972,1.70518765,2.67364561,0.41025641,0.72128637,1.42465753,0.42241794,0.15575690,0.44059869,0.99375783,0.68504462,0.44253225,0.18835616,0.35348680,0.80551302,10.0
625,Ce70Ga8.5Cu16.5Ni5,367.0,406.0,654.0,6.0,60,0.561162080,39,0.62079511,1.66742911,2.42263918,0.39764936,0.68042813,1.41463415,0.40725208,0.18503785,0.41981132,0.96262512,0.65722119,0.47227775,0.13588850,0.23271657,0.74006116,6.0
626,Ce70Ga8.5Cu13Ni8.5,371.0,397.0,662.0,3.0,60,0.560422961,26,0.59969789,1.63050382,2.09735849,0.38431752,0.63897281,1.36426117,0.38320983,0.21621259,0.39943343,0.91654719,0.62591414,0.50341423,0.08934708,0.13735849,0.67824773,3.0
627,Ce70Ga8.5Cu11Ni10.5,379.0,401.0,672.0,2.0,60,0.563988095,22,0.59672619,1.62203559,2.06940265,0.38154139,0.62946429,1.36860068,0.37539715,0.22391927,0.39422181,0.90494298,0.61885094,0.51130016,0.07508532,0.11353331,0.66220238,2.0
628,Ce70Al10Cu20,357.0,421.0,660.0,2.0,60,0.540909091,64,0.63787879,1.72018080,2.63120394,0.41396264,0.73484848,1.38943894,0.42303516,0.14591610,0.44865865,0.99463277,0.69292809,0.43189708,0.21122112,0.39999300,0.83181818,2.0
629,Ce68Al10Cu20Ni2,366.0,454.0,676.0,5.0,60,0.541420118,88,0.67159763,1.78185728,3.37156075,0.43570058,0.80177515,1.46451613,0.44158836,0.10367220,0.47964602,1.04569583,0.73525272,0.38969039,0.28387097,0.65351838,0.93195266,5.0
630,Fe59Cr6Mo14C15B6,806.0,858.0,1436.0,1.5,61,0.561281337,52,0.59749304,1.62579747,2.06998240,0.38269402,0.63370474,1.36190476,0.37928282,0.22039305,0.39668701,0.91008736,0.62188740,0.50763906,0.08253968,0.12545348,0.66991643,1.5
631,Fe48Cr15Mo14C15B6Er2,843.0,893.0,1443.0,12.0,61,0.584199584,50,0.61884962,1.64351157,2.48859174,0.39063867,0.65349965,1.48833333,0.39005030,0.20647615,0.40368151,0.94183281,0.64019063,0.49462466,0.08333333,0.13933884,0.68814969,12.0
632,Fe47Cr20Mo10C15B6Y2,854.0,909.0,1494.0,5.0,61,0.571619813,55,0.60843373,1.63602262,2.26834977,0.38713799,0.64524766,1.42031250,0.38617189,0.21206635,0.40116521,0.92791329,0.63212586,0.49978640,0.08593750,0.13724889,0.68206158,5.0
633,Fe45Cr20Mo10W2C15B6Y2,856.0,913.0,1500.0,6.0,61,0.570666667,57,0.60866667,1.63725545,2.26813207,0.38752122,0.64666667,1.41770186,0.38737257,0.21091311,0.40198923,0.92949021,0.63309821,0.49859410,0.08850932,0.14160299,0.68466667,6.0
634,Fe43Cr20Mo10W4C15B6Y2,858.0,920.0,1503.0,8.0,61,0.570858283,62,0.61210912,1.64311936,2.32240526,0.38966540,0.65335995,1.42635659,0.39205919,0.20579802,0.40528271,0.93794263,0.63824959,0.49348694,0.09612403,0.15650992,0.69461078,8.0
635,Fe41Cr20Mo10W6C15B6Y2,881.0,918.0,1518.0,6.0,61,0.580368906,37,0.60474308,1.62236664,2.24655000,0.38265944,0.62911726,1.44113030,0.36882931,0.22522229,0.39203612,0.90433199,0.62067392,0.51325737,0.05808477,0.09054722,0.65349144,6.0
636,Fe40Ni35P10C10B5,643.0,698.0,1220.0,1.5,62,0.527049180,55,0.57213115,1.61258573,1.64712056,0.37466452,0.61721311,1.20970537,0.37080778,0.23091895,0.39259645,0.87716310,0.60584574,0.51578099,0.09532062,0.12978744,0.66229508,1.5
637,Fe40Co35P10C10B5,704.0,760.0,1267.0,2.0,62,0.555643252,56,0.59984215,1.63518871,2.08147085,0.38559107,0.64404104,1.34991119,0.38688692,0.21195760,0.40256537,0.92076841,0.62932746,0.49889790,0.09946714,0.15337154,0.68823994,2.0
638,Fe40Co29Ni15P10C10B5,675.0,735.0,1255.0,2.5,62,0.537848606,60,0.58565737,1.62673749,1.83478180,0.38082902,0.63346614,1.26724138,0.38049174,0.21888548,0.39949749,0.90041669,0.61948126,0.50463765,0.10344828,0.14977811,0.68127490,2.5
639,Fe70Cr7Mo3P12C4B4,728.0,770.0,1349.0,1.5,63,0.539659007,42,0.57079318,1.59735131,1.67211051,0.37072701,0.60192735,1.23993559,0.35888829,0.24444347,0.38319962,0.86259620,0.59420446,0.53033223,0.06763285,0.09120603,0.63306153,1.5
640,Fe62Ni8Cr7Mo3P12C4B4,705.0,756.0,1323.0,2.0,63,0.532879819,51,0.57142857,1.60522024,1.65784832,0.37278107,0.60997732,1.22330097,0.36603344,0.23727341,0.38816739,0.87126832,0.60034014,0.52263213,0.08252427,0.11183897,0.64852608,2.0
641,Fe55Ni15Cr7Mo3P12C4B4,690.0,750.0,1302.0,2.5,63,0.529953917,60,0.57603687,1.61691044,1.69836957,0.37650602,0.62211982,1.22549020,0.37373031,0.22722892,0.39473684,0.88401013,0.60995392,0.51234314,0.09803922,0.13586957,0.66820276,2.5
